,name,price,bookmark,happy,sad,food_type,location,Num_review,highlight,num_branch,num_seat,pay_list,other_facility,path,taste,decor,service,hygiene,value,overall,rank,district,happy_vs_sad,price_int,highlight_int,num_payment,num_facility,mins_walk,Guangdong,Hong Kong Style,International,Japanese,Taiwan,Western,HK,KL,NT,payme,alipay,apple pay,openrice pay,visa,wechat,10% Service Charge,Alcoholic Drinks,Delivery,Parking,rank10,rank3,rank_foodtype,$101-200,$201-400,$401-800,$51-100,Above $801,Below $50,Central,Kowloon Bay,North Point,Tsim Sha Tsui,Tsuen Wan,Yau Ma Tei,Yuen Long,happy_scale,sad_scale,Num_review_scale,Num_review_scale,num_branch_scale,num_seat_scale,num_payment_scale,num_facility_scale
0,Drink Hut 飲棧,Below $50,13,2,0,Taiwan,Yau Ma Tei,2,0,2.0,30.0,['Cash'],['0'],"2-min walk from Exit A1, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,2.0,25,0,1.0,1.0,2.0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0006086427267194,0.0006086427267194,0.017543859649122806,0.028056112224448898,0.0,0.0
1,Yun Chi Tong Herb Tea 潤之堂涼茶,Below $50,17,1,0,Hong Kong Style,Yau Ma Tei,1,0,2.0,30.0,['Cash'],['0'],"2-min walk from Exit A2, Mong Kok MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,1.0,1.0,2.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.017543859649122806,0.028056112224448898,0.0,0.0
2,百老匯戲院小賣部,Below $50,19,3,0,Hong Kong Style,Yau Ma Tei,3,0,10.0,30.0,"['AlipayHK', 'Alipay', 'Cash']","['Wi-Fi', 'Alcoholic Drinks', 'Delivery', '10% Service Charge', 'Spot payment']","4-min walk from Exit C, Yau Ma Tei MTR Station",4.0,3.0,5.0,4.0,4.0,20.0,0,KL,3.0,25,0,3.0,5.0,4.0,0,1,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0014255167498218,0.0,0.0012172854534388,0.0012172854534388,0.08771929824561403,0.028056112224448898,0.14285714285714285,0.25
3,Fuk Xin Tong 福善堂涼茶,Below $50,24,1,0,Guangdong,Yau Ma Tei,1,0,1.0,10.0,['Cash'],['Eco-Friendly'],"1-min walk from Exit C, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.008771929824561403,0.008016032064128256,0.0,0.0
4,Kcal 卡路里,Below $50,26,1,0,International,Yau Ma Tei,1,0,3.0,30.0,"['Visa', 'Master', 'AlipayHK', 'Alipay', 'Cash', 'Octopus']",['0'],"1-min walk from Exit B1, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,6.0,1.0,1.0,0,0,1,0,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.02631578947368421,0.028056112224448898,0.3571428571428571,0.0
5,Hung Fook Tong 鴻福堂,Below $50,32,1,0,Guangdong,Yau Ma Tei,2,0,114.0,30.0,"['Visa', 'Master', 'AlipayHK', 'Alipay', 'Cash', 'Octopus', 'UnionPay', 'Apple Pay', 'Google Pay', '自家CLUB']","['Eco-Friendly', 'Spot payment']","10-min walk from Exit B2, Jordan MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,1.0,25,0,10.0,2.0,10.0,1,0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0006086427267194,0.0006086427267194,1.0,0.028056112224448898,0.6428571428571428,0.0625
6,大惠旺中西美食,Below $50,37,2,0,Guangdong,Yau Ma Tei,2,0,1.0,30.0,['Cash'],['0'],"5-min walk from Exit A1, Yau Ma Tei MTR Station",3.0,3.0,3.0,3.0,3.0,15.0,0,KL,2.0,25,0,1.0,1.0,5.0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.0006086427267194,0.0006086427267194,0.008771929824561403,0.028056112224448898,0.0,0.0
7,Big Chill Kitchen,$51-100,38,1,0,International,Yau Ma Tei,5,0,1.0,40.0,['0'],['0'],"4-min walk from Exit C, Yau Ma Tei MTR Station",2.0,3.0,3.0,3.0,3.0,14.0,0,KL,1.0,75,0,1.0,1.0,4.0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0024345709068776,0.0024345709068776,0.008771929824561403,0.038076152304609215,0.0,0.0
8,Yang Cheng Cafe 羊城冰室,Below $50,39,2,0,Hong Kong Style,Yau Ma Tei,6,0,1.0,30.0,['Cash'],['0'],"2-min walk from Exit A1, Yau Ma Tei MTR Station",3.0,3.0,2.0,2.0,3.0,7.0,0,KL,2.0,25,0,1.0,1.0,2.0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0007127583749109,0.0,0.003043213633597,0.003043213633597,0.008771929824561403,0.028056112224448898,0.0,0.0
9,Imperial Patisserie (AT Tower) 皇玥 (百家利中心),$51-100,45,9,0,Hong Kong Style,North Point,9,0,31.0,40.0,"['Visa', 'Master', 'AlipayHK', 'Alipay', 'Cash', 'AE', 'UnionPay', 'JCB', 'WeChat Pay']","['Wi-Fi', 'Alcoholic Drinks', 'May Bring Your Own Wine', 'Delivery', '10% Service Charge']","3-min walk from Exit A, Fortress Hill MTR Station",4.0,4.0,4.0,4.0,4.0,20.0,0,HK,9.0,75,0,9.0,5.0,3.0,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0057020669992872,0.0,0.0048691418137553,0.0048691418137553,0.27192982456140347,0.038076152304609215,0.5714285714285714,0.25
