name,price,bookmark,happy,sad,food_type,location,Num_review,highlight,num_branch,num_seat,pay_list,other_facility,path,taste,decor,service,hygiene,value,overall
Ann Mamma Thai kitchen by 張秀玲,$101-200,28964,599,12,Thai,Tsuen Wan,700,Best Tsuen Wan and Kwai Tsing,1,0,"Visa,Master,Cash","Phone Reservation,10% Service Charge","10-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,4,20
Shoken 初見,$101-200,32870,838,25,Japanese,Tsuen Wan,973,Best Japanese Restaurant/Tsuen Wan and Kwai Tsing,2,40,"AlipayHK,Alipay,Cash","Wi-Fi,Alcoholic Drinks,Cake-cutting,Phone Reservation,Delivery,10% Service Charge,TV Broadcast,Spot payment","8-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,4,20
Master Beef (Tai Hung Fai Tsuen Wan Centre) 牛大人台灣火鍋吃到飽 (大鴻輝(荃灣)中心),$101-200,48486,538,10,Taiwan,Tsuen Wan,632,0,8,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,JCB,Apple Pay,Google Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,Cake-cutting,Reward Dining Points,10% Service Charge,Spot payment","6-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Peko Peko Eatery (OP Mall) Peko Peko Eatery (海之戀商場),$101-200,36889,488,25,Western,Tsuen Wan,637,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,VIP Room,Parking,Phone Reservation,Delivery,10% Service Charge,Sea View,Outdoor Seating","1-min walk from Exit C4, Tsuen Wan West MTR Station",4,4,4,4,3,19
Vision 8,$201-400,22382,840,14,International,Tsuen Wan,953,0,1,40,"Visa,Master,AlipayHK,Alipay,Cash","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Spot payment","3-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
KOKON2 (Kolour Tsuen Wan) 古今二 (荃灣千色匯),$201-400,11856,570,18,Japanese,Tsuen Wan,653,0,5,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Apple Pay,OpenRice Pay","Online Reservation,Alcoholic Drinks,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,Spot payment","5-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Aping Grill 安平燒肉,$201-400,20605,381,9,Taiwan,Tsuen Wan,420,Best Tsuen Wan and Kwai Tsing/New Restaurant,,,,,,,,,,,
Spicy Restaurant (Tsuen Bik Building) 麻辣風雲 (荃碧大廈),$201-400,26677,745,26,Sichuan,Tsuen Wan,891,0,,,,,,,,,,,
Deer Kitchen (荃新天地),$101-200,14211,432,25,Western,Tsuen Wan,515,0,,,,,,,,,,,
18樓雞煲火鍋專門店,$201-400,32755,776,8,Guangdong,Tsuen Wan,851,0,,,,,,,,,,,
Wenger Noodle (328 Plaza) 雲家小鍋米線 (328廣場),Below $50,19930,412,13,Yunnan,Tsuen Wan,517,0,,,,,,,,,,,
Espresso Alchemy,$51-100,9552,413,2,Western,Tsuen Wan,467,0,,,,,,,,,,,
Toriyamana 鳥山名,$201-400,9073,534,5,Japanese,Tsuen Wan,607,0,,,,,,,,,,,
WM Caf? & Bar (海之戀商場),$51-100,8653,393,23,Western,Tsuen Wan,473,0,,,,,,,,,,,
HeSheEat (綠楊坊),$51-100,6918,634,19,Western,Tsuen Wan,756,0,,,,,,,,,,,
The BASE nature,$51-100,28795,557,19,International,Tsuen Wan,694,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,JCB,Apple Pay,Google Pay,WeChat Pay,OpenRice Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Parking,Phone Reservation,Reward Dining Points,Outdoor Seating,Spot payment","Exit A1, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",4,4,4,4,3,19
HIKARI,$101-200,17676,329,3,Western,Tsuen Wan,387,0,1,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Alcoholic Drinks,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","13-min walk from Exit B, Tsuen Wan West MTR Station",4,4,4,4,4,20
Korean Loft Cafe (Foo Yu Building) 韓閣 (富裕樓),$101-200,12490,323,18,Korean,Tsuen Wan,421,0,,,,,,,,,,,
ChorLand Cookfood Stall 楚撚記大排檔,$51-100,23681,240,7,Guangdong,Tsuen Wan,300,0,3,160,"Visa,Master,Cash,Octopus,UnionPay,Apple Pay,Google Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,Cake-cutting,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge","8-min walk from Exit D, Tsuen Wan West MTR Station",4,4,4,4,4,20
Olive Cafe (新領域廣場),$101-200,16457,591,40,Western,Tsuen Wan,749,0,1,54,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,JCB,Apple Pay,Google Pay,WeChat Pay","Online Reservation,Alcoholic Drinks,May Bring Your Own Wine,Parking,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Spot payment","5-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,3,19
KOKO Coffee Roasters,$101-200,10612,362,12,International,Tsuen Wan,457,0,,,,,,,,,,,
友拉麵,$51-100,4394,268,3,Japanese,Tsuen Wan,301,0,1,30,"AlipayHK,Alipay,Cash,Octopus,WeChat Pay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Delivery,10% Service Charge,Spot payment","6-min walk from Exit B2, Tsuen Wan MTR Station",4,4,4,4,4,20
Captain Japanese & Korean Restaurant (Sha Tsui Road) 校長燒肉日韓料理 (沙咀道),$101-200,17609,443,21,Korean,Tsuen Wan,565,0,4,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Tap&Go","Wi-Fi,Alcoholic Drinks,10% Service Charge,Spot payment","8-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Odelice! (OP Mall) Odelice! (海之戀商場),$201-400,15503,244,16,French,Tsuen Wan,318,0,4,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Apple Pay,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Phone Reservation,10% Service Charge,Outdoor Seating","1-min walk from Exit C4, Tsuen Wan West MTR Station",4,4,4,4,3,19
Pizza Maru (荃新天地1期),$101-200,12589,340,8,Korean,Tsuen Wan,406,0,4,0,"Visa,Master,Cash,UnionPay","Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Cake-cutting,Parking,Phone Reservation,Reward Dining Points,10% Service Charge","Exit A1, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",4,4,4,4,3,19
secret chefs (Heung Shing Street) 秘 (享成街),$101-200,37563,347,16,Japanese,Tsuen Wan,545,0,4,0,"AlipayHK,Alipay,Cash","May Bring Your Own Wine,Cake-cutting,Spot payment","11-min walk from Exit A2, Tsuen Wan West MTR Station",4,3,3,3,3,16
Kedai Kopi Semua Semua 蘇媽.蘇媽馬來西亞茶餐室,$51-100,12571,274,16,Malaysian,Tsuen Wan,423,0,7,0,Cash,0,"5-min walk from Exit A, Tsuen Wan West MTR Station",4,3,3,3,3,16
Lao Cuo Bian  老厝邊,$51-100,8017,231,13,Taiwan,Tsuen Wan,301,0,,,,,,,,,,,
Pancake House HoiHoi (荃新天地),$101-200,6099,244,7,Japanese,Tsuen Wan,309,0,,,,,,,,,,,
Chan．Taiwan Cuisine (NINA MALL) 饞。台式食堂 (如心廣場),$51-100,8951,306,6,Taiwan,Tsuen Wan,354,0,,,,,,,,,,,
Pickabowl (荃新天地),$51-100,8634,241,4,Japanese,Tsuen Wan,268,0,4,0,"AlipayHK,Alipay,Cash",Spot payment,"Exit A1, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",4,4,4,4,4,20
Leisurely Veggie 天 · 悠蔬食,$101-200,11754,324,10,International,Tsuen Wan,376,0,2,92,"Visa,Master,AlipayHK,Alipay,Cash,AE,OpenRice Pay","Online Reservation,Reward Dining Points,10% Service Charge,Spot payment,Vegetarian","Exit C3, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",4,4,4,4,3,19
Don't Forget 別忘了,$101-200,9278,236,15,Taiwan,Tsuen Wan,294,0,1,0,"Visa,Master,AlipayHK,Cash,Octopus,UnionPay","Online Reservation,Reward Dining Points,10% Service Charge","5-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Ding Lee 鼎家喜筷,$101-200,6473,314,14,Hong Kong Style,Tsuen Wan,370,0,1,0,"AlipayHK,Alipay,Cash,OpenRice Pay","Online Reservation,Reward Dining Points,10% Service Charge","1-min walk from Exit C, Tsuen Wan West MTR Station",4,4,4,4,4,20
Sol House Oyster Bar and Restaurant,$201-400,9479,476,7,Western,Tsuen Wan,521,0,1,60,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,WeChat Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,Parking,Phone Reservation,Reward Dining Points,10% Service Charge,Spot payment","12-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,4,20
老闆娘雲南米線,Below $50,28118,317,34,Yunnan,Tsuen Wan,529,0,1,0,Cash,0,"10-min walk from Exit A3, Tsuen Wan MTR Station",4,2,3,3,3,15
E Pot (Tai Hung Fai (Tsuen Wan) Centre) 一鍋堂 (大鴻輝(荃灣)中心),$201-400,3182,235,7,Hong Kong Style,Tsuen Wan,258,0,4,0,"Visa,Master,AlipayHK,Alipay,Cash,UnionPay,Apple Pay,Google Pay","Wi-Fi,Delivery,10% Service Charge,Spot payment","6-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
Friends of Years (Sam Pei Square) 素年 (三陂坊),$101-200,13020,218,5,Japanese,Tsuen Wan,273,0,,,,,,,,,,,
Big Boil's Club (Kapok Mansion) 大滾友火鍋 (紅棉大廈),$201-400,6250,214,1,Hong Kong Style,Tsuen Wan,230,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,UnionPay,OpenRice Pay","Online Reservation,Alcoholic Drinks,Cake-cutting,VIP Room,Phone Reservation,Reward Dining Points,10% Service Charge,Exclusive Online Booking,Spot payment","5-min walk from Exit B1, Tsuen Wan MTR Station",4,4,4,4,4,20
KOKON2 (Citywalk) 古今二 (荃新天地),$201-400,2158,249,3,Japanese,Tsuen Wan,267,0,,,,,,,,,,,
MEOKBANG KOREAN BBQ & BAR (Citywalk) 炑八韓烤 (荃新天地),$201-400,9969,233,5,Korean,Tsuen Wan,297,0,14,200,"Visa,Master,AlipayHK,Alipay,Cash,AE,UnionPay","Online Reservation,Alcoholic Drinks,10% Service Charge,Spot payment","Exit A1, Tsuen Wan West MTR Station, Exit D, Tsuen Wan West MTR Station",4,4,4,4,4,20
Chicken HOF & SOJU (Hoi Pa Street) 李家 (海壩街),$101-200,6362,183,6,Korean,Tsuen Wan,215,0,5,45,"Visa,Master,AlipayHK,Alipay,Cash,Apple Pay","Online Reservation,Wi-Fi,Alcoholic Drinks,May Bring Your Own Wine,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Outdoor Seating,TV Broadcast,Spot payment","9-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,4,20
SC Cuisine 鋿晶館,$51-100,4174,183,4,Guangdong,Tsuen Wan,213,0,3,0,"Cash,Octopus",0,"12-min walk from Exit A3, Tsuen Wan MTR Station",4,4,4,4,4,20
SOYmart by 豆乳狂人,Below $50,7620,214,14,Hong Kong Style,Tsuen Wan,289,0,3,0,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,UnionPay,Apple Pay,Google Pay,WeChat Pay",0,"1-min walk from Exit A1, Tsuen Wan West MTR Station",4,4,3,4,3,18
The 5B Private Corner,$201-400,19933,332,11,Western,Tsuen Wan,400,0,1,50,"Visa,Master,AlipayHK,Alipay,Cash,Octopus,AE,UnionPay,Apple Pay,Google Pay","Online Reservation,Wi-Fi,May Bring Your Own Wine,Cake-cutting,Eco-Friendly,Parking,Phone Reservation,Reward Dining Points,Delivery,10% Service Charge,Sea View,Spot payment","8-min walk from Exit B, Tsuen Wan West MTR Station",4,4,4,4,3,19
