,width,length,height,z,yaw
,mean,mean,mean,mean,
0,4.430106829,1.848765966,1.640095338,2.230713642,0
2,7.859814789,2.271130379,2.674459045,2.743456497,0
4,1.996467901,0.812183731,1.688025418,2.246538056,0
5,0.56721221,0.621124904,1.629531391,2.178802863,0
6,10.37104865,2.717299343,3.373830879,3.105310091,0
9,7.005383155,2.458451564,3.183412576,3.008448898,0
10,4.752773807,1.848493611,2.017267934,2.411596539,0
11,10.54789776,2.772064365,3.458949378,3.148209704,0
13,5.316040993,1.975089073,1.804683089,2.226568699,0
16,4.430106829,1.848765966,1.640095338,2.230713642,1.5708
18,7.859814789,2.271130379,2.674459045,2.743456497,1.5708
20,1.996467901,0.812183731,1.688025418,2.246538056,1.5708
21,0.56721221,0.621124904,1.629531391,2.178802863,1.5708
22,10.37104865,2.717299343,3.373830879,3.105310091,1.5708
25,7.005383155,2.458451564,3.183412576,3.008448898,1.5708
26,4.752773807,1.848493611,2.017267934,2.411596539,1.5708
27,10.54789776,2.772064365,3.458949378,3.148209704,1.5708
29,5.316040993,1.975089073,1.804683089,2.226568699,1.5708
